Key,noTrim,profile,type,en-us,en-us-sfw
trendyNerd0,,,text,Food2 Worker: I'm working on a new frontend framework for our website! Food.js will revolutionize website technology!,
trendyNerd1,,,text,"Food2 Worker: Our new marketing campaign is sure to turn some heads. ""Food2: It's What's NOT For Dinner!"" Great, right?",
trendyNerd2,,,text,"Food2 Worker: If you look carefully at our logo, the letters ""F O O D 2"" spell out the name of our company!",
trendyNerd3,,,text,"Food2 Worker: Would you like to buy a Food2 lootbox? There's a 0.5% chance you'll get exclusive merch, and a 100% chance we'll profit off your gambling addiction!",
trendyNerd4,,,text,"Food2 Worker: I'm on top of all the latest memes. THE GUTENBERG PRESS WASN'T VERY GOOD. Get it? No? Ugh, you aren't online enough!",
tinyNerd0,,,text,Food2 Worker: Do you think the receptionist would want to go on a date with me? I don't know any other girls...,
tinyNerd1,,,text,"Food2 Worker: I don't have time to cook while working 16 hour days, so Food2 is the perfect solution! What do you mean ""I could just work less?"" That's absurd!",
tinyNerd2,,,text,Food2 Worker: Would you like to read my manifesto about how people like me are just naturally better than people who are different from me?,
tinyNerd3,,,text,Food2 Worker: Technology exists to make the world a better place. Specifically: technology exists to replicate all the things my mum used to do for me when I was a kid.,
tinyNerd4,,,text,"Food2 Worker: Oh wow, a female! I'm flattered that you want to marry me, but you're not really my type.",
coffeeBottle,,,text,"""Despite our best efforts, drinking Food2 still takes time. So why waste MORE time drinking coffee? 'Food2 Workaholic' combines Food2 with 250ml of caffeine!""",
gamerBottle,,,text,"""Going on epic raids, pwning n00bs, and yelling at minorities takes up a lot of a gamer's time! Why spend more heating up dinner? 'Food2 Epic' is the answer!""",
buffNerd0,,,text,Food2 Worker: Gotta be buff so all the people who used to bully me can't do it again at our high school reunion!,
buffNerd1,,,text,Food2 Worker: A bottle of Food2 contains all the protein I need to lift heavy things for a while!,
buffNerd2,,,text,"Food2 Worker: Thursday nights are weight lifting nights, Friday nights are card game nights, and on Saturday nights? The cards have weights!",
crispyBottle,,,text,"""Miss chewing? Worry not! 'Food2 Crispy' has delicious & nutritious kelp bits to chew on while slurpin' down the good stuff!""",
salsaBottle,,,text,"""Hola my amigos! Want a little spice in your life? Each bottle of 'Food2 Salsa Picante' includes real tomato juice from tomatoes that were once near a pepper!""",
cookiesBottle,,,text,"""A diet of Food2 doesn't mean a diet with no dessert! 'Food2 Rocky Road' mixes artificial chocolate flavor with real* sugar!""",
soybeanBaby,,,text,That soybean is looking at me. I don't like that.,
brokenIncubator,,,text,This must be where the whatever-it-is that got loose was contained. The glass looks a few inches thick. Bad sign.,
kelpFishBaby,,,text,"The label says that this is actually an artificial fish made from algae, wheat gluten, and Javan rhinoceros meat.",
veggieGolemBaby,,,text,It looks like this is how Vegetable Golems are made. It's kind of cute.,
hurtNerd0,,trent,text,"???: Y-you're the farmer, aren't you? The one we're supposed to stop!",
hurtNerd1,,trent,text,???: Just my luck... the one person who can help me is the one my friends have been trying to kill for the past couple days.,
hurtNerd2,,trent,text,"???: ...fine, fine, the past couple weeks.",
hurtNerd3,,trent,text,"???: Anyway, I know I work for the company that's trying to kill you, but that... that THING... is out there.",
hurtNerd4,,trent,text,"???: I barely managed to escape earlier, but I'm pretty sure my right leg is broken. I can't get out of here on my own.",
hurtNerd5,,trent,text,"???: Can you please help me? If I stay here, it will definitely kill me, and it will take its time.",
hurtNerdY,,,choice,Carry the worker to safety.,
hurtNerdN,,,choice,Leave him to die.,
hurtNerdN0,,trent,text,"???: Well... that's karma I guess. I'm not sure what I expected, given all we've put you through.",
hurtNerdN1,,trent,text,"???: But... I'm serious, this thing is bad. If you aren't going to save me, at least save yourself and get the hell out of here!","???: But... I'm serious, this thing is bad. If you aren't going to save me, at least save yourself and get out of here!"
hurtNerdX0,,trent,text,???: Did you have a change of heart? Are you going to help me?,
hurtNerdXN0,,trent,text,"???: I know rubbing my inevitable death in your face must be fun to you, but unless you want to die, too, I recommend getting upstairs fast!",
hurtNerdY0,,trent,text,"???: Oh, thank God. Not that I believe in---nevermind, now's not the time for trying to sound smart.",
hurtNerdY1,,trent,text,"???: Thank you. I'm glad you have more empathy than the people who work here. Myself included, probably.",
hurtNerdY2,,trent,text,"???: By the way, my name is Trent. What's yours?",
hurtNerdY3,,trent,text,"Trent: ...Yeah, I can't pronounce that... but I'll try to learn, I guess.",
hurtNerdY4,,trent,text,"Trent: Anyway, now is not the time for small talk. We need to get out of here fast!",
savedNerd0,,trent,text,Trent: We made it! We're upstairs! You saved us!,
savedNerd1,,trent,text,Trent: I... thank you. Thank you for saving my life.,
savedNerd2,,trent,text,"Trent: The world needs more people like you, and hopefully I can start being less like my coworkers and more like you.",
savedNerd3,,trent,text,"Trent: This floor has some tough robots guarding the path, but with the right materials you should be able to stop them easily.",
savedNerd4,,trent,text,"Trent: Beckett is probably upstairs waiting for you. And, just as an FYI... he has a few allergies you might want to know about.",
savedNerd5,,trent,text,"Trent: Fish, citrus, and carrots. There's a vending machine on this floor, too, so I'd recommend stocking up on those if you can.",
savedNerd6,,trent,text,"Trent: If you could drop me off here, that'd be great... I can rest here for a bit, then make my way to the elevator to get downstairs.",
savedNerd7,,trent,text,Trent: Thank you again.,
beatMonster0,,trent,text,"Trent: ...Holy crap, you beat it! Who ARE you?!","Trent: ...Holy gwakky-mohl, you beat it! Who ARE you?!"
beatMonster1,,trent,text,"Trent: Either way, there may be other hazards on this floor, so we should still get out of here quickly.",
sleepingSavedNerd,,,text,"He's asleep. Upon closer inspection, his leg doesn't look broken at all. Sprained ankle, maybe, but nothing serious.",
uhoh0,,,text,???: EEEEEEE EEEEEE EEEEEE EEEEEEEEEEEE EEEEEEEEEEEEEEEEEEEEEEEE EEEEEEEEEEEE!!!!!,
lostToMonstA0,,,text,... ... ... ...,
lostToMonstA1,,,text,"""How will I die?"" is not a question I ask myself often, but it has crossed my mind from time to time.",
lostToMonstA2,,,text,"But I gotta say, ""a giant soybean monster impaling me"" was never an answer I would have expected.",
lostToMonstA3,,,text,"Like, what the fuck.","Like, that's a new one."
lostToMonstB0,,,text,"Trent: Hey! Hey! Get up! You're okay, right? You can keep fighting, right? You can save us, right?",
lostToMonstB1,,,text,"Trent: Oh man, oh geez, oh geez, oh man... this is not good... I gotta----.... uh oh.",
lostToMonstB2,,,text,... ... ... ...,
midniteBottle,,,text,"""If you're an emo or goff, then you can finally have a food as dark as your soul with 'Food2 Midnite' and its cotton candy flavor!""",
purpleBottle,,,text,"""Want your kids on the diet of the future? Try 'Food2 Purple' with its WhAcKy kid-friendly color and the delicious egg flavor that kids love!""",
crystalBottle,,,text,"""The limited edition 'Crystal Food2' flavor tastes the way crystals look! Unless you don't think crystals look good, then it's not that.""",
prophet0,,,text,Robot: To proceed you must pass my trial.,
prophet1,,,text,"Robot: Many will enter, few will win.",
prophet2,,,text,"Robot: If you wish to get past me, you must defeat me... or defeat the robot standing next to me. Either one, really.",
prophet3,,,text,Robot: Thou shalt not passeth.,
dirtPileNo,,,text,"If I had some flower seeds, I could probably plant them here... but where would I get flower seeds??",
dirtPileYes,,,text,I can probably plant my Sacred Lotus seeds in this dirt patch next to this beehive. Should I?,
dirtPileNoPlant,,,text,"Yeah, these seeds deserve better than to be planted in this big ugly building.",
dirtPilePlant0,,,text,"As soon as the seeds were planted, they immediately blossomed into a full flower. That was no ordinary soil!",
dirtPilePlant1,,,text,It looks like some bees are coming to the flower now... I've never seen that kind of bee before!,
dirtPilePlant2,,,text,I got 9 Haunted Bees!,
dirtPileBees,,,text,The bees look happy.,
tutReturn0,,conv,text,Convince-a-tron: Do you remember me?,
tutReturn1,,conv,text,Convince-a-tron: We tried to reason with you. We didn't want things to go this way.,
tutReturn2,,conv,text,"Convince-a-tron: ...Okay, maybe some of us did a little bit. But *I* wanted to be your friend.",
tutReturn3,,conv,text,Convince-a-tron: But I guess potential friends make the best enemies... I'm sure some great philosopher probably said that once.,
tutReturn4,,conv,text,"Convince-a-tron: To quote another great philosopher... ""I'm gonna kill you, jackass!"" - Plato","Convince-a-tron: To quote another great philosopher... ""I'm gonna kill you!"" - Plato"
tutReturnBack,,conv,text,"Convince-a-tron: Back for more, are you? Do you need another tutorial on getting your ass kicked?","Convince-a-tron: Back for more, are you? Do you need another tutorial on getting your butt kicked?"
confront0,,,text,???: So... you made it all the way here.,
confront1,,beckett,text,???: Heh heh heh... remember me?,
confront2,,beckett,text,???: ...,
confront3,,beckett,text,???: It's BECKETT.,
confront4,,beckettmad,text,"BECKETT, I guess: DON'T GIVE ME THAT SHIT!","BECKETT, I guess: DON'T GIVE ME THAT JUNK!"
confront5,,beckett,text,"Beckett: I have to admit, I underestimated you...",
confront6,,beckett,text,Beckett: Who would have guessed some farmer from hicktown could compete with some of the smartest minds in the world?,
confront7,,beckett,text,"Beckett: No one, of course, because you can't. I've just been toying with you. Because... I wanted to see how far you could go!",
confront8,,beckett,text,"Beckett: If that doesn't make sense to you, clearly you just can't comprehend my brilliant intellect. It's completely logical!",
confront9,,beckett,text,"Beckett: But now, you've come too far. You've caused us too many problems. You... made some of our investors change their minds...",
confront10,,beckett,text,"Beckett: You are a bug in the hand of a fucking infant, who will grow up to rule the world.","Beckett: You are a bug in the hand of an infant, who will grow up to rule the world."
confront11,,beckett,text,Beckett: And when the infant grows tired of the bug... he CRUSHES IT.,
confront12,,beckettmad,text,Beckett: IN THIS METAPHOR I AM THE INFANT AND I WILL CRUSH YOU!!!,
beckettBack0,,beckettmad,text,"Beckett: Heh heh, back for more, are you? You yokels never know when to quit!",
postBeckett0,,beckettmad,text,Beckett: Wh-wha... you... YOU BEAT ME?!,
postBeckett1,,beckettmad,text,Beckett: I'M SMART! YOU'RE NOT! I'M RICH! YOU'RE NOT! I'M... THIS IS IMPOSSIBLE!,
postBeckett2,,beckettmad,text,Beckett: Wipe that smug look off your face! Once the boss hears about this you'll be sorry! YOU'LL BE SORRY!!,
final0,,beckettsad,text,"Beckett: There she is, boss! There's the mean old lady who beat the fucking shit out of me!","Beckett: There she is, boss! There's the mean old lady who beat me up!"
final1,,,text,???: ...,
final2,,,text,???: ... ...,
final3,,,text,???: ... ... ...,
final4,,nath,text,"Nathan: Oh, hey boss! What brings you here?",
final5,,beckettshock,text,Beckett: B--WHAAAT?!?!?!!,
final6,,nath,text,"Nathan: Oh yeah, I guess I forgot to fill the rest of y'all in while I was gone.",
final7,,nath,text,Nathan: This is that farmer we talked about last week at the board meeting. One of the best farmers in California. Remember?,
final8,,beckettworry,text,Beckett: Yes... I remember...,
final9,,nath,text,"Nathan: Well anyway, I figured that a good way to figure out her farming secrets was to work as her intern.",
final10,,beckettworry,text,Beckett: Her... intern...?,
final11,,nath,text,"Nathan: Yeah, she's been busy with some other stuff lately, so I've been working on her farm, helping her out, learning how she works.",
final12,,nath,text,"Nathan: I gotta admit, I never would have thought of some of the things she does.",
final13,,nath,text,"Nathan: But thanks to that research, we can figure out what makes her crops so damn good, so we can do the same thing to Food2!","Nathan: But thanks to that research, we can figure out what makes her crops so good, so we can do the same thing to Food2!"
final14,,beckettworry,text,Beckett: ...,
final15,,nathconf,text,Nathan: ...Beckett?,
final16,,beckettworry,text,Beckett: That's... certainly... one strategy...,
final17,,nathconf,text,Nathan: What are you talking about?,
final18,,beckettworry,text,Beckett: Well... after that meeting last week.... after you left... we came up with a... DIFFERENT way... of working with her.,
final19,,nath,text,Nathan: Oh? Great! What did you guys do?,
final20,,beckettworry,text,"Beckett: ...uh... first we uh, decided that she was someone to compete with, not collaborate with... so...",
final21,,beckettworry,text,Beckett: We tried bribing her... and then that didn't work... so we tried to kill her.,
final22,,nathmad,text,Nathan: What the fuck!? Why the fuck did you think any of that would be a good idea?!,Nathan: What!? Why the heck did you think any of that would be a good idea?!
final23,,beckettworry,text,Beckett: ...the investors liked it more than your idea.,
final24,,nathconf,text,"Nathan: Oh, they did? Well why didn't you say so?",
final25,,nathupset,text,"Nathan: Sorry, boss, but business is business.",
nathReturn,,nathupset,text,"Nathan: Sorry, boss, but I must defeat you. The business demands it, and business is always right.",
*,,,,Area 10: Endings,
naturalGood0,,,ending,Technology will not save us.,
naturalGood1,,,ending,Our future is not and cannot be left in the hands of a few people in Silicon Valley.,
naturalGood2,,,ending,"The power to shape the future belongs to all of us, and we must work together to make the best future we can.",
naturalGood3,,,ending,"Doing the work to make the world better isn't always rewarding, but it is work that needs to be done.",
naturalGood4,,,ending,We can't rely on corporations to bring about real change: no one gets rich from doing the right thing.,
naturalGood5,,,ending,But some people don't do things for money or fame. Some people do things to make the world better.,
naturalGood6,,,ending,I hope you're one of them.,
industrialGood0,,,ending,Technology is a tool.,
industrialGood1,,,ending,"Those who wield it can change the world, for better or for worse.",
industrialGood2,,,ending,"We need to do our best to ensure that this tool is accessible to everyone, so we can all build the future together.",
industrialGood3,,,ending,Some will try to use this tool to help themselves at the expense of others. Oppose them.,
industrialGood4,,,ending,Others will try to use this tool to help others at the expense of themselves. Help them.,
industrialGood5,,,ending,"Together, we can build a better future for all of us, and technology can help us get there.",
industrialGood6,,,ending,So let's start building.,
naturalBad0,,,ending,Technology will kill us.,
naturalBad1,,,ending,"More and more, technology is becoming just another tool to widen the gap between the elites and us.",
naturalBad2,,,ending,They spend their wealth on internet-ready light bulbs and smart juicers as they walk past the homeless with their noses in the air.,
naturalBad3,,,ending,"They build rockets to take them to Mars, while we are stuck here suffering the effects of the climate change they created.",
naturalBad4,,,ending,"If they use a ladder to escape us, we must break that ladder, and bring them back to our level.",
naturalBad5,,,ending,"If they use technology to distance themselves from us, we must break that, too.",
naturalBad6,,,ending,They cannot escape us.,
industrialBad0,,,ending,Technology is a weapon.,
industrialBad1,,,ending,"I don't believe violence is the best answer, but when the options are ""kill or die,"" it's certainly not the worst.",
industrialBad2,,,ending,It is better to be a soldier in a garden than a gardener in a war.,
industrialBad3,,,ending,Those with the power of technology are using that power to widen the gaps between rich and poor.,
industrialBad4,,,ending,We can't let people driven by greed and hate have a monopoly on our future.,
industrialBad5,,,ending,We must reject the pet projects of eccentric billionaires and use technology to protect us from those who wish to rule us.,
industrialBad6,,,ending,Don't strike back. Strike first.,
*,,,,Shops,
shop.back,,,shop,Go Back,
shop.forward,,,shop,Go Forward,
s.co,,,shop,Henrietta: bu-GAWK! hi boss! got some good seeds on sale! what? you want a discount? cluck off - a girl's gotta make money somehow! ,Henrietta: bu-GAWK! hi boss! got some good seeds on sale! what? you want a discount? sorry - a girl's gotta make money somehow! 
cwk.sell,,,shop,"""Darryl"": Whattaya got for me?",
s.eq1o,,,shop,"Velthur: Ayana! Welcome to my Equipment Shopp! Pleaze, buy many thingz.",
s.leaveEnd,,,shop,Time to get going.,
s.leave1o,,,shop,Velthur: Ciao!,
s.notenough1o,,,shop,"Velthur: No can do, sweetie. You need more money than that!",
s.leave0,,,shop,Henrietta: cock-a-doodle-goodbye!,
s.notenough0,,,shop,Henrietta: boss.. boss... i can't give you this for free. i need the money. for reasons.,
s.notenough,,,shop,I don't think this line is actually supposed to be here but if you're seeing this you don't have enough money to buy that.,
s.purchased,,,shop,"I don't think this line is actually supposed to be here but if you're seeing this, you bought the thing.",
s.purchased1o,,,shop,Velthur: Grazie!,
s.up1p,,,shop,Andrew: Excellent! Now you'll have a 4x3 grid of tiles to plant crops and place fixtures on! Use your new space wisely!,
s.didsell,,,shop,"I don't think this line is actually supposed to be here but if you're seeing this, you sold the thing.",
cwk.didsell,,,shop,"""Darryl"": Thanks for the crap.","""Darryl"": Thanks for the junk."
s.leavesell,,,shop,"I don't think this line is actually supposed to be here but if you're seeing this, you left the selling menu.",
cwk.leavesell,,,shop,"""Darryl"": Back to more important matters - the ones where you give me money.",
s.cpurch,,,shop,"Henrietta: bu-GAWK!! good stuff, good stuff. thank you for your patronage! ",
s.up1o,,,shop,"Andrew: Hellow! Are you tired of only having 9 tiles to plant your crops in? Tire no more! For a small fee I can give you three more tiles to plant your crops on! Neat, right?",
s.upempty,,,shop,"Andrew: Welcome! Unfortunately, I have no more upgrades for you!",
s.up1bye,,,shop,"Andrew: Until next time, friend!",
s.up1not,,,shop,"Andrew: I'm sorry, but your funds are insufficient for this transaction!",
s.up1talk,,,shop,Andrew: A small farm is no good! A big farm is less no good! A huge farm is good! Those are the three rules I live by!,
s.innEnter1,,,shop,"Rosa: Hello, my inn is in... business. It's inn business. That's a thing people say. Really.",
s.innLeave1,,,shop,"Rosa: Adios, Ayana.",
s.innPurch1,,,shop,Rosa: Sleep well!,
s.innNot1,,,shop,"Rosa: I'm sorry, you don't have enough money to spend the night here.",
s.innAwake1,,,shop,"Rosa: I hope you had a good rest! Your game has been autosaved, and can be loaded from the ""Autosave"" slot on the Continue Screen!",
s.sellseed,,,shop,"Seeds & Consumables\n Sell your seeds, eggs, and other consumable supplies. ",
s.selltool,,,shop,"Tools & Equipment\n Sell your equipment, like sickles, gloves, and compost bins. ",
s.sellfixture,,,shop,"Field Fixtures\n Sell your Fixtures, like chicken coops and mushroom logs. ",
s.fieldI,,,shop,"This will expand your Combat Field, allowing you to place more Fixtures and plant more Crops during combat. ",
s.fieldO,,,shop,This configuration gives room for more large Fixtures and Trees. ,
s.field.,,,shop,"This configuration gives additional space, but less room for large Fixtures and Trees. ",
s.fi1o,,,shop,"Chuck: Welcome to my Fixture Shop! Here you can buy Fixtures to add to yer farm, allowing you to plant and grow more than just yer standard fruits 'n veggies!",
s.talk1o,,,shop,"Velthur: You gotta use the right tool for the job at hand. Got nailz? Hammer! Got screwz? Screwdriver! Got vampirez? Garlic! I'm kidding, ha ha! ...Garlic won't stop us.",
s.chuckLeave,,,shop,"Chuck: Until next time, then!",
s.chuckNotEnough,,,shop,"Chuck: This ain't a charity, lass! Have the moneys or have the not-buying-from-me's!",
s.chuckBuy,,,shop,"Chuck: Thanks much, lass!",
s.chuckTalk,,,shop,"Chuck: I gotta say, Golden Mushrooms don't actually taste very good.",
quest1,,,shop,"Chuck: Oy there, you got a minnut?",
quest1.a,,,shop,"Chuck: I heard pray tell quite right what-ho rumors eh wot yes quite that there's a Golden Mushroom in the forest west of town. If you can find it for me, you'll be rewarded handsomely!",
quest1.b,,,shop,"Chuck: Oy oy, now THAT'S some Golden Mushroom if I ever did see one! Thank you! Take this Mushroom Log as a reward! Also, now I will sell Mushroom products if you want to buy more!",
quest1.c,,,shop,"Chuck: I don't see no gold in your hands! Find me the Golden Mushroom in the Forest west of here! Hop it to it, lass!",
s.seed1,,,shop,"Pete: Hi welcome, to my shop. Please look around and let me know if you need any seeds. To buy. If you want to buy seeds from me let me know, is what I mean.",
s.seed1buy,,,shop,Pete: Thank you for your bweesness.,
s.seed1not,,,shop,"Pete: I don't think you have enough money to buy this, so I can't sell it to you. Sorry, but that's how money works.",
s.seed1leave,,,shop,Pete: Thanks. Come again!,
s.seed1casual,,,shop,"Pete: It's pretty wild, huh? That you can just, like, grow things from seeds. Nature is wild.",
s.innLastO,,,shop,This is it... I'm so close to the end of this nightmare.,
s.merminn,,,shop,"Gorty: Welcom to the mermaid inn. Weev made shor ta keep our rooms mostly wa'er-free, so yeu won't drown in yer sleep!",
s.merminnleave,,,shop,Gorty: Com back soon!,
s.merminnnot,,,shop,"Gorty: No money, no bed. Dat's how it wurks!",
s.merminnpurch,,,shop,"Gorty: Sleep well, human!",
s.merminnawake,,,shop,"Gorty: Good maurning! Did yeu sleep well? Bet yer glad our beds are in air bubbles, ha ha!",
s.merminntalk,,,shop,Gorty: Wot're yeu staring at? Never seen a mermaid bafore? We're just like yeu humans! We jus' have tails and gills and Vitamin D de-FISH-encies!,
s.innPurchLast,,,shop,I'm gonna need this rest.,
s.lastWake,,,shop,I feel a bit better now.,
s.mermhello,,,shop,Shelf: Dis is a mermaid shop... g'day!,
s.mermleave,,,shop,Shelf: Until next time!,
s.mermnot,,,shop,"Shelf: I don't know how yeu humans do dis whole business wotsit, but us mermaids don't give tings away unless yeu have tha MONEY for dem!",
s.mermbuy,,,shop,Shelf: Thank you!,
cwk.co,,,shop,"""Darryl"": Hey there. I'm too lazy to do any construction work so I'm just... running a shop. Whatever.",
cwk.leave,,,shop,"""Darryl"": Thanks for the whatever.",
cwk.not,,,shop,"""Darryl"": Hey hey, this is a business, not a charity. Have the money or have the go-fuck-yourself.","""Darryl"": Hey hey, this is a business, not a charity. Have the money or have the go-away."
cwk.purch,,,shop,"""Darryl"": Thanks.",
quest1.d,,,shop,"Samuel: Oy lass, is that a Golden Mushroom? I'll trade you for this Mushroom Log! Also, I'll start selling Mushroom-related products for you to buy, at a discounted price!",
s.youHave,,,shop,You have {0}.,
s.vendoEnter,,,shop,Welcome to the Vending Machine.,
s.vendoLeave,,,shop,Thank you for your Patronage.,
s.vendoNotEnough,,,shop,Error: Insufficient Funds for Purchase.,
s.vendoBought,,,shop,Transaction Completed.,
s.upgrade,,,shop,{1} Upgrade ({0} coins),
s.sleepsy,,,shop,"Take a Sleepsy Nappsy ({0} coins)\n You get some bonus health, and will wake up here if you lose a battle.",
s.coins,,,shop,Coins: {0},
s.invfull,,,shop,"Sorry, but you don't have room for this in your inventory!",
s.alreadyown,,,shop,You already own one of these! You don't need another!,
s.alms,,,shop,"Give Alms ({0} coins) \n If you believe in luck or karma or the whole ""you reap which you sow"" mentality (not in the literal sense, you farmer), it probably couldn't hurt to spare a few coins.",
s.almsBuy,,,shop,"Father Iglesias thanks you for your kindness, and you feel just a wee bit luckier.",
s.almsNope,,,shop,I don't have enough money right now... I'd feel guilty about just giving spare change.,
s.howMany,,,shop,How many?,
*,,,,Books,
bookVeg,,,bname,"""Intro to Farming"" by Dr. Farmhouse \n A guide to growing crops for beginners.",
bookVeg0,,,book,"Farming battles are turn-based; during your turn you can choose to plant crops or attack with ripe crops. Once a crop is planted, its age counter will decrease by one after you and your enemies have all had a turn.",
bookVeg1,,,book,"When a crop's age counter hits 0, it is ripe and ready to be used in an attack. Some crops - like vegetables - will rot if left on the field after their age counter passes 0. Rotten crops can be removed by being composted to recover health.",
bookVeg2,,,book,"Other crops - like fruits - will regrow over time. If their age counter passes 0 the ripe crops will wither away, but the tree will still produce more crops later.",
bookVeg3,,,book,"Both vegetables and fruits can be planted anywhere on a standard farm field. However, there are other crop types out there, each with their own unique features, so be sure to try them all!",
bookSeasons,,,bname,"""The Story of Seasons"" by Victor Wada \n A primer on how seasons will affect your crops.",
bookSeasons0,,,book,"At the start of every farming battle, a season is chosen depending on the enemies you are fighting. The season will change every 30 turns, or after you or one of your enemies uses a Season Modulator.",
bookSeasons1,,,book,"How powerful your crops are depends on the current season. A crop is either GOOD, OKAY, or BAD in a given season. GOOD crops will do twice as much damage, and BAD crops will do very little damage.",
bookSeasons2,,,book,"Keep the current season in mind when planting new crops. If you're planting a regrowing crop like a tree or mushroom, keep the future seasons in mind, too. Planting a slow-growing Summer tree in the Spring is smart, but maybe don't plant it in the middle of Summer!",
bookSeasons3,,,book,"Winter is the hardest season, since very few crops are GOOD in Winter, and many crops are BAD. Make sure you have a balanced inventory so you're never stuck in a season with only BAD crops!",
bookShop,,,bname,"""Shops and Inns"" by Bryan Selz \n A handy reference about how capitalism works, in case you forgot. ",
bookShop0,,,book,"There are various establishments that will gladly take your hard-earned cash in exchange for goods and services: inns and shops selling fixtures, seeds, and equipment.",
bookShop1,,,book,"Sleeping at an inn will recover all your health and give you some bonus health. If you lose in a battle, you will wake up at the last inn you stayed at. Inns also have various books with helpful information in them.",
bookShop2,,,book,"At shops you can buy various items: seeds and other crop starters (like eggs), equipment like sickles, compost bins, gloves, and watering cans, and farm fixtures like mushroom logs and egg incubators.",
bookShop3,,,book,"Some shops will also let you sell items back to them. Keep an eye out for shopkeepers with a ""talk"" option available, as they might also have useful information or a special request for you.",
bookEquip,,,bname,"""Equipment and Fixtures"" by E.E. Quippings \n Information on equipment for your body and fixtures for your farm.",
bookEquip0,,,book,"There are four types of equipment: weapons, compost bins, gloves, and watering cans. Weapons will affect your melee attack power (how much damage you do when you attack with no ripe crops available) and what types of targets you can attack.",
bookEquip1,,,book,A Compost Bin is needed to compost crops and recover health during battle. The type of bin you use can determine how many crops you can compost at once. Gloves increase your damage resistance and can let you perform multiple actions in one turn.,
bookEquip2,,,book,"Watering Cans will affect how your crops grow. Some will make your crops grow faster, others will make your crops more resistant to growing in off seasons, and others will multiply a crop's seasonal bonuses or weaknesses.",
bookEquip3,,,book,"Fixtures can be placed on your Field to allow you to grow different types of crops. Without any Fixtures, all you can grow are fruits and vegetables. If you place a Mushroom Log on your Field, however, you will be able to plant Mushroom Seeds on it.",
bookEquip4,,,book,"Other Fixtures, like Egg Incubators, Paddy Fields, and Season Modulators, all have different effects. You can put as many on your Field as you can fit on there, but make sure you have the right Seeds to go with your Fixtures! Standard veggie seeds can't be planted on Mushroom Logs!",
bookMush,,,bname,"""Mushroom Logs"" by Megan Obello \n An introduction to Mushroom Log Fixtures.",
bookMush0,,,book,"If a Mushroom Log Fixture is added to your field, you will be able to plant and grow any of the several different types of Mushroom seeds during combat.",
bookMush1,,,book,"Mushrooms are similar to Fruit Trees since they regrow after being harvested and do not rot. However, they only take up one tile like Vegetables, and unlike both Fruits and Vegetables they do not fall off the log if they are not harvested when they are ripe.",
bookMush2,,,book,"Ripe mushrooms will remain on their logs until they are harvested. Mushroom Logs are, however, susceptible to fire, and if a Log is burned it will kill any mushrooms growing on it and will render the Log unusable for several turns.",
bookEgg,,,bname,"""Eggs and Incubators"" by Greggory Hatch \n A guide raising and hatching Eggs with Incubators.",
bookEgg0,,,book,"If an Incubator Fixture is added to your field, you will be able to place and hatch any of the several different types of Eggs during combat.",
bookEgg1,,,book,"Once an egg hatches, it can be harvested like any other crop and the hatched animal can be thrown at enemies. Unlike vegetables, hatched eggs will not rot if they are unused, but their power will increase with every turn they are unused.",
bookEgg2,,,book,"The longer you leave a hatched egg on your field, the more damage it will do when finally used for an attack. Unlike most other crop types, eggs cannot be composted in any stage of their development no matter what kind of Compost Bin you have.",
bookEgg3,,,book,"Like Mushroom Logs, Incubators are resistant to most elemental attacks, but are can be burned by fire attacks, making them unusable for several turns.",
bookExpand,,,bname,"""Farm Expansions"" by Marge Fields \n Information on Farm Expansions and Upgrades.",
bookExpand0,,,book,"Some shops don't sell any items, but will increase the size of your Field in exchange for cash monies. Each Upgrade Shop will have more sizes available than the previous one.",
bookExpand1,,,book,"Initially your Field is only 3x3 tiles big, but it can be expanded to be much bigger than that. Later on, you will be able to choose between different upgrades, with some offering more tiles overall, while others offer more space to place larger Fixtures and Crops (like Trees).",
bookExpand2,,,book,"There are three tiers of upgrade after the initial 3x3 size. The first tier brings your field size to 4x4, and the following two tiers offer two different upgrade sizes each - but once you pick one, you can't switch to the other, so choose wisely!",
bookExpand3,,,book,"Be sure to upgrade your Field size as soon as you can afford to do so, as it will be much harder to defeat stronger enemies when your Field is tiny!",
bookForest,,,bname,"""The Curse of Agrios Forest"" by Lana Ranja \n This book describes the mysterious forest west of this town.",
bookForest0,,,book,"It's very easy to get lost in the forest, but few forests are as hard to navigate as the Agrios Forest, just west of the town of San Ambrosio in central California. Rumor has it that the whole forest has been cursed by unknown spirits.",
bookForest1,,,book,"Compasses don't work in this forest, as if there were strong magnetic interference, and when walking down certain paths, people claim to feel as though they have been ""warped"" to another part of the forest entirely by supernatural forces.",
bookForest2,,,book,"The forest is home to wildlife like turkeys, mice, squirrels, and bears, as well as rare flora like golden mushrooms, so many adventurers decide to enter the forest despite the townsfolk's stories and warnings.",
bookForest3,,,book,"Should you choose to enter Agrios Forest, keep your eyes out for familar landmarks to act as your guide, and don't bother setting a trail of breadcrumbs or trying to draw a map; they won't help you!",
bookPaddy,,,bname,"""Paddy Crops"" by Patrick Wack \n A primer on the Rice Paddy Fixture and the Crops that can be planted on it.",
